item_set,item_id,word,condition,time,n,accuracy,correct,standard_error
target,target_05,settle,Grounding,Post-test,30,0.8333333333333334,25,0.06804138174397716
target,target_06,misleading,Control,Pretest,30,0.4,12,0.08944271909999159
target,target_06,misleading,Control,Post-test,30,0.5666666666666667,17,0.09047201327032126
target,target_06,misleading,Thematic,Pretest,30,0.43333333333333335,13,0.09047201327032126
target,target_06,misleading,Thematic,Post-test,30,0.6333333333333333,19,0.08798147953257401
target,target_06,misleading,Grounding,Pretest,30,0.43333333333333335,13,0.09047201327032126
target,target_06,misleading,Grounding,Post-test,30,0.7666666666666667,23,0.07722022379508468
target,target_07,discourage,Control,Pretest,30,0.36666666666666664,11,0.08798147953257401
target,target_07,discourage,Control,Post-test,30,0.4666666666666667,14,0.09108400680852977
target,target_07,discourage,Thematic,Pretest,30,0.4,12,0.08944271909999159
target,target_07,discourage,Thematic,Post-test,30,0.6,18,0.08944271909999159
target,target_07,discourage,Grounding,Pretest,30,0.36666666666666664,11,0.08798147953257401
target,target_07,discourage,Grounding,Post-test,30,0.9333333333333333,28,0.045542003404264876
target,target_08,retain,Control,Pretest,30,0.2,6,0.07302967433402216
target,target_08,retain,Control,Post-test,30,0.3,9,0.08366600265340755
target,target_08,retain,Thematic,Pretest,30,0.2,6,0.07302967433402216
target,target_08,retain,Thematic,Post-test,30,0.5,15,0.09128709291752768
target,target_08,retain,Grounding,Pretest,30,0.26666666666666666,8,0.08073734277593311
target,target_08,retain,Grounding,Post-test,30,0.7666666666666667,23,0.07722022379508468
target,target_09,overlook,Control,Pretest,30,0.23333333333333334,7,0.07722022379508468
target,target_09,overlook,Control,Post-test,30,0.36666666666666664,11,0.08798147953257401
target,target_09,overlook,Thematic,Pretest,30,0.23333333333333334,7,0.07722022379508468
target,target_09,overlook,Thematic,Post-test,30,0.6333333333333333,19,0.08798147953257401
target,target_09,overlook,Grounding,Pretest,30,0.2,6,0.07302967433402216
target,target_09,overlook,Grounding,Post-test,30,0.8,24,0.07302967433402215
target,target_10,engage,Control,Pretest,30,0.4,12,0.08944271909999159
target,target_10,engage,Control,Post-test,30,0.5333333333333333,16,0.09108400680852977
target,target_10,engage,Thematic,Pretest,30,0.36666666666666664,11,0.08798147953257401
target,target_10,engage,Thematic,Post-test,30,0.6,18,0.08944271909999159
target,target_10,engage,Grounding,Pretest,30,0.4,12,0.08944271909999159
target,target_10,engage,Grounding,Post-test,30,0.9,27,0.054772255750516606
secondary,secondary_control_11,disappear,Control,Pretest,30,0.8,24,0.07302967433402215
secondary,secondary_control_11,disappear,Control,Post-test,30,0.8333333333333334,25,0.06804138174397716
secondary,secondary_thematic_11,prepare,Thematic,Pretest,30,0.7666666666666667,23,0.07722022379508468
secondary,secondary_thematic_11,prepare,Thematic,Post-test,30,0.7666666666666667,23,0.07722022379508468
secondary,secondary_grounding_11,rethink,Grounding,Pretest,30,0.7,21,0.08366600265340757
secondary,secondary_grounding_11,rethink,Grounding,Post-test,30,0.6333333333333333,19,0.08798147953257401
secondary,secondary_control_12,restless,Control,Pretest,30,0.5333333333333333,16,0.09108400680852977
secondary,secondary_control_12,restless,Control,Post-test,30,0.8666666666666667,26,0.06206328908341751
secondary,secondary_thematic_12,pending,Thematic,Pretest,30,0.23333333333333334,7,0.07722022379508468
secondary,secondary_thematic_12,pending,Thematic,Post-test,30,0.6333333333333333,19,0.08798147953257401
secondary,secondary_grounding_12,unavoidable,Grounding,Pretest,30,0.6,18,0.08944271909999159
secondary,secondary_grounding_12,unavoidable,Grounding,Post-test,30,0.7666666666666667,23,0.07722022379508468
secondary,secondary_control_13,uneven,Control,Pretest,30,0.6,18,0.08944271909999159
secondary,secondary_control_13,uneven,Control,Post-test,30,0.7666666666666667,23,0.07722022379508468
secondary,secondary_thematic_13,urgent,Thematic,Pretest,30,0.5666666666666667,17,0.09047201327032126
secondary,secondary_thematic_13,urgent,Thematic,Post-test,30,0.7,21,0.08366600265340757
secondary,secondary_grounding_13,definite,Grounding,Pretest,30,0.4666666666666667,14,0.09108400680852977
secondary,secondary_grounding_13,definite,Grounding,Post-test,30,0.6666666666666666,20,0.08606629658238704
secondary,secondary_control_14,unwrap,Control,Pretest,30,0.7,21,0.08366600265340757
secondary,secondary_control_14,unwrap,Control,Post-test,30,0.7666666666666667,23,0.07722022379508468
secondary,secondary_thematic_14,submit,Thematic,Pretest,30,0.4666666666666667,14,0.09108400680852977
secondary,secondary_thematic_14,submit,Thematic,Post-test,30,0.6,18,0.08944271909999159
secondary,secondary_grounding_14,preserve,Grounding,Pretest,30,0.4,12,0.08944271909999159
secondary,secondary_grounding_14,preserve,Grounding,Post-test,30,0.7,21,0.08366600265340757
secondary,secondary_control_15,brighten,Control,Pretest,30,0.6,18,0.08944271909999159
secondary,secondary_control_15,brighten,Control,Post-test,30,0.8333333333333334,25,0.06804138174397716
secondary,secondary_thematic_15,assign,Thematic,Pretest,30,0.5,15,0.09128709291752768
secondary,secondary_thematic_15,assign,Thematic,Post-test,30,0.5666666666666667,17,0.09047201327032126
secondary,secondary_grounding_15,dispute,Grounding,Pretest,30,0.3,9,0.08366600265340755
secondary,secondary_grounding_15,dispute,Grounding,Post-test,30,0.4666666666666667,14,0.09108400680852977
secondary,secondary_control_16,colorless,Control,Pretest,30,0.8,24,0.07302967433402215
secondary,secondary_control_16,colorless,Control,Post-test,30,0.8,24,0.07302967433402215
secondary,secondary_thematic_16,flexible,Thematic,Pretest,30,0.6333333333333333,19,0.08798147953257401
secondary,secondary_thematic_16,flexible,Thematic,Post-test,30,0.7333333333333333,22,0.08073734277593311
secondary,secondary_grounding_16,mislead,Grounding,Pretest,30,0.36666666666666664,11,0.08798147953257401
secondary,secondary_grounding_16,mislead,Grounding,Post-test,30,0.7333333333333333,22,0.08073734277593311
secondary,secondary_control_17,sharpen,Control,Pretest,30,0.7,21,0.08366600265340757
secondary,secondary_control_17,sharpen,Control,Post-test,30,0.8,24,0.07302967433402215
secondary,secondary_thematic_17,arrange,Thematic,Pretest,30,0.5666666666666667,17,0.09047201327032126
secondary,secondary_thematic_17,arrange,Thematic,Post-test,30,0.7,21,0.08366600265340757
secondary,secondary_grounding_17,encourage,Grounding,Pretest,30,0.6333333333333333,19,0.08798147953257401
secondary,secondary_grounding_17,encourage,Grounding,Post-test,30,0.7666666666666667,23,0.07722022379508468
secondary,secondary_control_18,wander,Control,Pretest,30,0.4,12,0.08944271909999159
secondary,secondary_control_18,wander,Control,Post-test,30,0.6666666666666666,20,0.08606629658238704
secondary,secondary_thematic_18,estimate,Thematic,Pretest,30,0.4,12,0.08944271909999159
secondary,secondary_thematic_18,estimate,Thematic,Post-test,30,0.7,21,0.08366600265340757
secondary,secondary_grounding_18,memory,Grounding,Pretest,30,0.5666666666666667,17,0.09047201327032126
secondary,secondary_grounding_18,memory,Grounding,Post-test,30,0.7333333333333333,22,0.08073734277593311
secondary,secondary_control_19,loosen,Control,Pretest,30,0.4666666666666667,14,0.09108400680852977
secondary,secondary_control_19,loosen,Control,Post-test,30,0.7,21,0.08366600265340757
secondary,secondary_thematic_19,notify,Thematic,Pretest,30,0.3,9,0.08366600265340755
secondary,secondary_thematic_19,notify,Thematic,Post-test,30,0.6666666666666666,20,0.08606629658238704
secondary,secondary_grounding_19,face,Grounding,Pretest,30,0.2,6,0.07302967433402216
secondary,secondary_grounding_19,face,Grounding,Post-test,30,0.6666666666666666,20,0.08606629658238704
secondary,secondary_control_20,tremble,Control,Pretest,30,0.3,9,0.08366600265340755
secondary,secondary_control_20,tremble,Control,Post-test,30,0.5,15,0.09128709291752768
secondary,secondary_thematic_20,record,Thematic,Pretest,30,0.6666666666666666,20,0.08606629658238704
secondary,secondary_thematic_20,record,Thematic,Post-test,30,0.8,24,0.07302967433402215
secondary,secondary_grounding_20,withdraw,Grounding,Pretest,30,0.3333333333333333,10,0.08606629658238704
secondary,secondary_grounding_20,withdraw,Grounding,Post-test,30,0.5333333333333333,16,0.09108400680852977
